Game{name= Monster Hunter Generations, platform= 3DS, developer= Capcom, genre= Role-Playing, numberPlayers= Up to 4 , rating= T, releaseDate= Jul 15, 2016, positiveCritics= 69, neutralCritics= 3, negativeCritics= 0, positiveUsers= 36, neutralUsers= 7, negativeUsers= 4, metaScore= 85, userScore= 80}

Game{name= Hyper Light Drifter, platform= PS4, developer= Heart Machine, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Jul 26, 2016, positiveCritics= 9, neutralCritics= 2, negativeCritics= 0, positiveUsers= 11, neutralUsers= 2, negativeUsers= 0, metaScore= 80, userScore= 77}

Game{name= World of Warcraft: Legion, platform= PC, developer= Blizzard Entertainment, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Aug 30, 2016, positiveCritics= 61, neutralCritics= 1, negativeCritics= 0, positiveUsers= 73, neutralUsers= 28, negativeUsers= 48, metaScore= 88, userScore= 73}

Game{name= The Legend of Heroes: Trails of Cold Steel II, platform= VITA, developer= Falcom, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Sep  6, 2016, positiveCritics= 23, neutralCritics= 3, negativeCritics= 0, positiveUsers= 4, neutralUsers= 1, negativeUsers= 0, metaScore= 80, userScore= 84}

Game{name= Dragon Quest VII: Fragments of the Forgotten Past, platform= 3DS, developer= ArtePiazza, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= E10+, releaseDate= Sep 16, 2016, positiveCritics= 44, neutralCritics= 12, negativeCritics= 0, positiveUsers= 20, neutralUsers= 4, negativeUsers= 1, metaScore= 81, userScore= 84}

Game{name= Shin Megami Tensei IV: Apocalypse, platform= 3DS, developer= Atlus, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Sep 20, 2016, positiveCritics= 38, neutralCritics= 3, negativeCritics= 0, positiveUsers= 12, neutralUsers= 2, negativeUsers= 1, metaScore= 84, userScore= 45}

Game{name= Darkest Dungeon, platform= PS4, developer= Red Hook Studios, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Sep 27, 2016, positiveCritics= 13, neutralCritics= 3, negativeCritics= 0, positiveUsers= 13, neutralUsers= 4, negativeUsers= 5, metaScore= 83, userScore= 76}

Game{name= The Elder Scrolls V: Skyrim Special Edition, platform= XONE, developer= Bethesda Game Studios, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Oct 28, 2016, positiveCritics= 23, neutralCritics= 1, negativeCritics= 0, positiveUsers= 25, neutralUsers= 8, negativeUsers= 4, metaScore= 82, userScore= 74}

Game{name= The Elder Scrolls V: Skyrim Special Edition, platform= PS4, developer= Bethesda Game Studios, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Oct 28, 2016, positiveCritics= 36, neutralCritics= 4, negativeCritics= 0, positiveUsers= 72, neutralUsers= 23, negativeUsers= 34, metaScore= 81, userScore= 71}

Game{name= Tyranny, platform= PC, developer= Obsidian Entertainment, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= , releaseDate= Nov 10, 2016, positiveCritics= 54, neutralCritics= 13, negativeCritics= 0, positiveUsers= 63, neutralUsers= 23, negativeUsers= 20, metaScore= 80, userScore= 78}

Game{name= Pokemon Sun, platform= 3DS, developer= Game Freak, genre= Role-Playing, numberPlayers= Up to 4 , rating= E, releaseDate= Nov 18, 2016, positiveCritics= 85, neutralCritics= 2, negativeCritics= 0, positiveUsers= 123, neutralUsers= 23, negativeUsers= 35, metaScore= 87, userScore= 84}

Game{name= Pokemon Moon, platform= 3DS, developer= Game Freak, genre= Role-Playing, numberPlayers= Up to 4 , rating= E, releaseDate= Nov 18, 2016, positiveCritics= 82, neutralCritics= 2, negativeCritics= 0, positiveUsers= 71, neutralUsers= 17, negativeUsers= 16, metaScore= 87, userScore= 87}

